ID,Monitoring,Year,DOY,Max_Depth,Latitude,Longitude,Date,Depth,Long,lagoslakei
21MICH-410270/2001/137/16,21MICH-410270,2001,137,16,42.95064633,-85.6027746,5/17/2001 0:00,0,-85.6027746,437
21MICH-410423/2001/134/12,21MICH-410423,2001,134,12,43.137607,-85.4851246,5/14/2001 0:00,0,-85.4851246,2456
21MICH-410539/2002/132/21,21MICH-410539,2002,132,21,43.20666263,-85.637898,5/12/2002 0:00,0,-85.637898,1550
21MICH-410702/2001/145/9,21MICH-410702,2001,145,9,43.11203981,-85.6396552,5/25/2001 0:00,0,-85.6396552,40741
21MICH-450049/2001/140/38,21MICH-450049,2001,140,38,44.86873081,-85.9764439,5/20/2001 0:00,0,-85.9764439,1141
21MICH-460179/2000/162/18,21MICH-460179,2000,162,18,41.97381031,-84.2940874,6/10/2000 0:00,0,-84.2940874,2338
21MICH-460304/2000/137/20,21MICH-460304,2000,137,20,41.96668267,-84.275668,5/16/2000 0:00,0,-84.275668,2657
21MICH-460309/2000/143/13,21MICH-460309,2000,143,13,42.05706641,-84.1150832,5/22/2000 0:00,0,-84.1150832,36541
21MICH-470094/2004/137/18,21MICH-470094,2004,137,18,42.58301377,-83.8486771,5/16/2004 0:00,0,-83.8486771,909
21MICH-470100/2017/150/25,21MICH-470100,2017,150,25,42.48083399,-83.7958856,5/30/2017 0:00,0,-83.7958856,6339
21MICH-470149/2013/166/20,21MICH-470149,2013,166,20,42.42477416,-83.8943814,6/15/2013 0:00,0,-83.8943814,480
21MICH-470213/2001/139/15,21MICH-470213,2001,139,15,42.44948152,-83.8457339,5/19/2001 0:00,0,-83.8457339,6340
21MICH-520210/2006/145/15,21MICH-520210,2006,145,15,46.27746408,-87.3424757,5/25/2006 0:00,0,-87.3424757,1161
21MICH-530073/2003/141/20,21MICH-530073,2003,141,20,44.07471177,-86.4292058,5/21/2003 0:00,0,-86.4292058,1867
21MICH-530074/2003/141/20,21MICH-530074,2003,141,20,44.07471177,-86.4292058,5/21/2003 0:00,0,-86.4292058,1867
21MICH-540050/2015/136/12,21MICH-540050,2015,136,12,43.75453042,-85.2975258,5/16/2015 0:00,0,-85.2975258,1833
21MICH-540080/2000/152/10,21MICH-540080,2000,152,10,43.60045031,-85.276984,5/31/2000 0:00,0,-85.276984,2869
21MICH-540085/2000/133/16,21MICH-540085,2000,133,16,43.67859017,-85.2591763,5/12/2000 0:00,0,-85.2591763,3512
21MICH-540092/2000/152/15,21MICH-540092,2000,152,15,43.62011049,-85.2856588,5/31/2000 0:00,0,-85.2856588,628
21MICH-540093/2001/132/16,21MICH-540093,2001,132,16,43.67859017,-85.2591763,5/12/2001 0:00,0,-85.2591763,3512
21MICH-590105/2011/139/21,21MICH-590105,2011,139,21,43.26300684,-84.9262795,5/19/2011 0:00,0,-84.9262795,3246
21MICH-590144/2003/141/24,21MICH-590144,2003,141,24,43.27386869,-85.1276138,5/21/2003 0:00,0,-85.1276138,1787
21MICH-590171/2001/134/11,21MICH-590171,2001,134,11,43.16328578,-85.2721032,5/14/2001 0:00,0,-85.2721032,1286
21MICH-600023/2017/140/27,21MICH-600023,2017,140,27,44.93418175,-84.1912894,5/20/2017 0:00,0,-84.1912894,877
21MICH-610330/2014/156/21,21MICH-610330,2014,156,21,43.37847005,-86.3854817,6/5/2014 0:00,0,-86.3854817,3311
21MICH-610349/2013/135/21,21MICH-610349,2013,135,21,43.37847005,-86.3854817,5/15/2013 0:00,0,-86.3854817,3311
21MICH-620029/2010/137/27,21MICH-620029,2010,137,27,43.45012761,-85.9667707,5/17/2010 0:00,0,-85.9667707,2457
21MICH-620035/2019/137/8,21MICH-620035,2019,137,8,43.60338522,-85.817387,5/17/2019 0:00,0,-85.817387,3475
21MICH-620061/2001/139/9,21MICH-620061,2001,139,9,43.53175042,-85.8542741,5/19/2001 0:00,0,-85.8542741,1872
21MICH-620066/2005/136/21,21MICH-620066,2005,136,21,43.45757684,-85.8119142,5/16/2005 0:00,0,-85.8119142,938
21MICH-620106/2002/131/19,21MICH-620106,2002,131,19,43.50586693,-85.8651908,5/11/2002 0:00,0,-85.8651908,2769
21MICH-620107/2005/136/16,21MICH-620107,2005,136,16,43.45543267,-85.8269535,5/16/2005 0:00,0,-85.8269535,4156
21MICH-620276/2021/150/16,21MICH-620276,2021,150,16,43.45543267,-85.8269535,5/30/2021 0:00,0,-85.8269535,4156
21MICH-630415/2015/134/34,21MICH-630415,2015,134,34,42.6855601,-83.4294267,5/14/2015 0:00,0,-83.4294267,1484
21MICH-630542/2019/157/37,21MICH-630542,2019,157,37,42.60865134,-83.3682592,6/6/2019 0:00,0,-83.3682592,3729
21MICH-630550/2001/139/16,21MICH-630550,2001,139,16,42.52060163,-83.4816653,5/19/2001 0:00,0,-83.4816653,87591
21MICH-630554/2021/143/21,21MICH-630554,2021,143,21,42.77677948,-83.2573369,5/23/2021 0:00,0,-83.2573369,3099
21MICH-630666/2003/153/22,21MICH-630666,2003,153,22,42.64559857,-83.4813791,6/2/2003 0:00,0,-83.4813791,15557
21MICH-630670/2002/151/12,21MICH-630670,2002,151,12,42.83039653,-83.1513375,5/31/2002 0:00,0,-83.1513375,1482
